"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"11.03.2022","2.046,00","1.986,00","2.048,00","1.972,00","45,25K","4,07%"
"10.03.2022","1.966,00","1.982,00","1.987,00","1.944,00","41,68K","-0,30%"
"09.03.2022","1.972,00","1.939,00","1.980,00","1.929,00","42,77K","3,57%"
"08.03.2022","1.904,00","1.920,00","1.973,00","1.897,00","44,92K","-1,55%"
"07.03.2022","1.934,00","1.870,00","1.959,00","1.856,00","58,85K","0,89%"
"04.03.2022","1.917,00","1.986,00","1.996,00","1.890,00","54,00K","-4,58%"
"03.03.2022","2.009,00","2.063,00","2.066,00","2.001,00","44,03K","-1,71%"
"02.03.2022","2.044,00","1.955,00","2.046,00","1.932,00","50,57K","3,76%"
"01.03.2022","1.970,00","2.019,00","2.053,00","1.963,00","49,92K","-1,55%"
"28.02.2022","2.001,00","1.905,00","2.013,00","1.871,00","49,64K","1,32%"
"25.02.2022","1.975,00","1.825,00","1.998,00","1.822,00","76,97K","9,42%"
"24.02.2022","1.805,00","1.900,00","1.938,00","1.790,00","79,55K","-11,52%"
"23.02.2022","2.040,00","2.108,00","2.133,00","2.040,00","48,16K","-2,86%"
"22.02.2022","2.100,00","2.029,00","2.113,00","2.013,00","48,95K","1,20%"
"21.02.2022","2.075,00","2.172,00","2.173,00","2.064,00","48,27K","-3,62%"
"18.02.2022","2.153,00","2.190,00","2.196,00","2.151,00","29,69K","-1,37%"
"17.02.2022","2.183,00","2.214,00","2.228,00","2.174,00","28,89K","-1,49%"
"16.02.2022","2.216,00","2.227,00","2.253,00","2.207,00","29,18K","0,00%"
"15.02.2022","2.216,00","2.165,00","2.225,00","2.165,00","33,20K","2,31%"
"14.02.2022","2.166,00","2.165,00","2.178,00","2.125,00","44,08K","-1,86%"
"11.02.2022","2.207,00","2.200,00","2.211,00","2.181,00","23,99K","-0,59%"
"10.02.2022","2.220,00","2.240,00","2.246,00","2.206,00","32,16K","-0,72%"
"09.02.2022","2.236,00","2.231,00","2.242,00","2.223,00","20,31K","0,72%"
"08.02.2022","2.220,00","2.173,00","2.220,00","2.168,00","29,96K","1,93%"
"07.02.2022","2.178,00","2.193,00","2.204,00","2.151,00","33,26K","-0,18%"
"04.02.2022","2.182,00","2.244,00","2.248,00","2.182,00","26,65K","-2,59%"
"03.02.2022","2.240,00","2.248,00","2.259,00","2.230,00","22,98K","-0,80%"
"02.02.2022","2.258,00","2.244,00","2.266,00","2.227,00","24,36K","1,12%"
"01.02.2022","2.233,00","2.230,00","2.245,00","2.219,00","19,55K","0,59%"
"31.01.2022","2.220,00","2.223,00","2.228,00","2.200,00","24,11K","1,14%"
"28.01.2022","2.195,00","2.232,00","2.245,00","2.177,00","37,27K","-2,05%"
"27.01.2022","2.241,00","2.212,00","2.249,00","2.205,00","34,24K","0,13%"
"26.01.2022","2.238,00","2.226,00","2.256,00","2.213,00","28,98K","1,22%"
"25.01.2022","2.211,00","2.180,00","2.223,00","2.177,00","0,70K","1,42%"
"24.01.2022","2.180,00","2.272,00","2.290,00","2.165,00","50,66K","-4,47%"
"21.01.2022","2.282,00","2.296,00","2.302,00","2.268,00","29,89K","-1,55%"
"20.01.2022","2.318,00","2.334,00","2.343,00","2.312,00","22,94K","-0,30%"
"19.01.2022","2.325,00","2.304,00","2.348,00","2.303,00","25,55K","-0,04%"
"18.01.2022","2.326,00","2.365,00","2.371,00","2.326,00","28,60K","-2,06%"
"17.01.2022","2.375,00","2.399,00","2.401,00","2.370,00","14,59K","-0,59%"
"14.01.2022","2.389,00","2.404,00","2.423,00","2.382,00","24,54K","-1,12%"
"13.01.2022","2.416,00","2.420,00","2.437,00","2.403,00","27,74K","-0,17%"
"12.01.2022","2.420,00","2.360,00","2.420,00","2.351,00","32,84K","3,11%"
"11.01.2022","2.347,00","2.305,00","2.347,00","2.301,00","27,70K","2,49%"
"10.01.2022","2.290,00","2.315,00","2.329,00","2.290,00","22,95K","-0,91%"
"07.01.2022","2.311,00","2.305,00","2.319,00","2.283,00","27,41K","-0,26%"
"05.01.2022","2.317,00","2.300,00","2.317,00","2.294,00","16,06K","0,43%"
"04.01.2022","2.307,00","2.295,00","2.312,00","2.292,00","1,00K","0,87%"
"03.01.2022","2.287,00","2.284,00","2.313,00","2.284,00","18,58K","0,35%"
"30.12.2021","2.279,00","2.270,00","2.279,00","2.263,00","11,30K","0,26%"
"29.12.2021","2.273,00","2.266,00","2.277,00","2.258,00","14,36K","0,18%"
"28.12.2021","2.269,00","2.244,00","2.269,00","2.227,00","16,75K","1,20%"
"27.12.2021","2.242,00","2.232,00","2.248,00","2.225,00","13,68K","0,49%"
"23.12.2021","2.231,00","2.222,00","2.239,00","2.222,00","9,07K","0,54%"
"22.12.2021","2.219,00","2.201,00","2.222,00","2.195,00","11,65K","1,05%"
"21.12.2021","2.196,00","2.221,00","2.224,00","2.196,00","18,79K","-0,27%"
"20.12.2021","2.202,00","2.180,00","2.208,00","2.159,00","30,22K","0,46%"
"17.12.2021","2.192,00","2.204,00","2.207,00","2.188,00","11,68K","-0,77%"
"16.12.2021","2.209,00","2.188,00","2.218,00","2.178,00","33,36K","2,27%"
"15.12.2021","2.160,00","2.215,00","2.217,00","2.158,00","1,61K","-2,31%"
"14.12.2021","2.211,00","2.211,00","2.235,00","2.201,00","31,72K","-0,14%"
"13.12.2021","2.214,00","2.223,00","2.245,00","2.207,00","28,18K","-0,09%"
"10.12.2021","2.216,00","2.205,00","2.229,00","2.202,00","13,43K","0,05%"
"09.12.2021","2.215,00","2.227,00","2.238,00","2.188,00","1,00K","-0,27%"
"08.12.2021","2.221,00","2.236,00","2.247,00","2.216,00","19,00K","-0,31%"
"07.12.2021","2.228,00","2.206,00","2.240,00","2.205,00","3,00K","1,87%"
"06.12.2021","2.187,00","2.184,00","2.203,00","2.175,00","19,68K","0,64%"
"03.12.2021","2.173,00","2.210,00","2.223,00","2.173,00","22,66K","-1,45%"
"02.12.2021","2.205,00","2.208,00","2.208,00","2.178,00","24,36K","-0,50%"
"01.12.2021","2.216,00","2.210,00","2.228,00","2.192,00","26,49K","1,00%"
"30.11.2021","2.194,00","2.128,00","2.201,00","2.110,00","0,70K","1,95%"
"29.11.2021","2.152,00","2.154,00","2.169,00","2.123,00","33,26K","0,61%"
"26.11.2021","2.139,00","2.180,00","2.186,00","2.139,00","35,98K","-4,04%"
"25.11.2021","2.229,00","2.251,00","2.252,00","2.217,00","15,76K","-0,67%"
"24.11.2021","2.244,00","2.269,00","2.277,00","2.230,00","23,20K","-0,80%"
"23.11.2021","2.262,00","2.238,00","2.270,00","2.226,00","24,56K","0,40%"
"22.11.2021","2.253,00","2.256,00","2.266,00","2.241,00","22,14K","0,13%"
"19.11.2021","2.250,00","2.283,00","2.296,00","2.223,00","34,11K","-0,88%"
"18.11.2021","2.270,00","2.328,00","2.328,00","2.262,00","28,57K","-2,37%"
"17.11.2021","2.325,00","2.345,00","2.359,00","2.314,00","19,41K","-0,60%"
"16.11.2021","2.339,00","2.345,00","2.359,00","2.336,00","18,25K","-0,13%"
"15.11.2021","2.342,00","2.372,00","2.392,00","2.342,00","23,60K","-1,14%"
"12.11.2021","2.369,00","2.374,00","2.396,00","2.366,00","20,74K","-0,04%"
"10.11.2021","2.370,00","2.405,00","2.415,00","2.362,00","20,48K","-1,58%"
"09.11.2021","2.408,00","2.424,00","2.427,00","2.400,00","17,96K","-0,78%"
"08.11.2021","2.427,00","2.445,00","2.452,00","2.421,00","14,35K","-0,74%"
"05.11.2021","2.445,00","2.441,00","2.447,00","2.426,00","16,18K","0,08%"
"04.11.2021","2.443,00","2.389,00","2.444,00","2.389,00","26,26K","2,82%"
"03.11.2021","2.376,00","2.411,00","2.434,00","2.376,00","25,96K","-1,49%"
